id	desc	stage	replicate	color	GSM
C6.r3	Regenerating callus 6 days, biological rep3	C6	r3	#EC2295	GSM357675
C8.r1	Regenerating callus 8 days, biological rep1	C8	r1	#EC22AC	GSM357676
C8.r2	Regenerating callus 8 days, biological rep2	C8	r2	#EC22AC	GSM357677
C8.r3	Regenerating callus 8 days, biological rep3	C8	r3	#EC22AC	GSM357678
R.r1	Root, biological rep1	R	r1	#BC871B	GSM357679
R.r2	Root, biological rep2	R	r2	#BC871B	GSM357680
R.r3	Root, biological rep3	R	r3	#BC871B	GSM357681
S.r1	Shoot, biological rep1	S	r1	#BBA069	GSM357682
S.r2	Shoot, biological rep2	S	r2	#BBA069	GSM357683
S.r3	Shoot, biological rep3	S	r3	#BBA069	GSM357684
YL.r1	Young leaf, biological rep1	YL	r1	#42A919	GSM357685
YL.r2	Young leaf, biological rep2	YL	r2	#42A919	GSM357686
YL.r3	Young leaf, biological rep3	YL	r3	#42A919	GSM357687
YL.r4	Young leaf, biological rep4	YL	r4	#42A919	GSM357688
