"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "probeset"
"Os.12303.1.S1_at" 67.4612678782277 4.49971412751321 38.0751636115181 5.42649363678383e-60 7.66953344497364e-58 126.545221483724 "Os.12303.1.S1_at"
"Os.11837.1.S1_at" 67.1778288233105 3.60898558726037 158.219279710761 1.61329385793244e-118 2.31435070389698e-114 258.579679196432 "Os.11837.1.S1_at"
"Os.4189.1.S1_at" 66.7637395346867 11.0595469021011 23.3333223089752 1.71404828607957e-41 1.02990071991432e-39 83.7207677373936 "Os.4189.1.S1_at"
"Os.7945.1.S1_at" 66.7316668135187 112.007625556053 3.03371958073748 0.00310248219211067 0.0214412420989635 -4.12001172303747 "Os.7945.1.S1_at"
"Os.51086.1.S1_x_at" 66.6447749027808 8.86006187720526 23.318400591427 1.80661037591695e-41 1.0821181272533e-39 83.6678507931774 "Os.51086.1.S1_x_at"
"Os.9923.1.S1_s_at" 66.4644950868014 22.2855592379571 5.94814721203 4.32715092191698e-08 6.51536536870743e-07 6.66436629576193 "Os.9923.1.S1_s_at"
"OsAffx.32221.1.S1_s_at" 66.4248561883424 25.1691352835074 10.7086812046761 4.15939160331121e-18 1.03456527516777e-16 29.6153873175419 "OsAffx.32221.1.S1_s_at"
"Os.3808.4.S1_x_at" 65.994596026506 16.697240657371 8.19703709677495 1.04372600839538e-12 2.04825874876004e-11 17.198140814874 "Os.3808.4.S1_x_at"
"Os.11651.1.S1_at" 65.7503499767465 3.64501148743258 75.4315818524516 1.07094874286111e-87 9.1721165317696e-85 190.212611604576 "Os.11651.1.S1_at"
"Os.12120.1.S1_at" 65.3300085925041 3.32367105364059 23.5073680832331 9.2973178996344e-42 5.68156225470523e-40 84.336235296694 "Os.12120.1.S1_at"
"Os.10388.1.S1_at" 63.8822633759285 7.34421397529327 22.2555155173525 8.14061568593686e-40 4.53959970155907e-38 79.8364755866724 "Os.10388.1.S1_at"
"Os.11766.1.S1_at" 63.84745285859 27.0121839976539 5.11993021271805 1.55671189770251e-06 2.03478911421334e-05 3.1527539671644 "Os.11766.1.S1_at"
"Os.26206.1.S1_at" 63.4759513715727 4.27297883014188 76.7813455938958 1.98353921640306e-88 1.80665789389905e-85 191.879415141368 "Os.26206.1.S1_at"
"Os.12100.1.S1_at" 63.1272474851549 3.19057125125802 134.661067379709 8.79620862252614e-112 8.41240071962992e-108 244.070690216573 "Os.12100.1.S1_at"
"Os.12296.1.S1_at" 62.8750411155812 10.7815692890944 12.1539059256252 3.52854211455501e-21 9.90096839204868e-20 36.7021373939437 "Os.12296.1.S1_at"
"Os.11919.1.S1_at" 62.4420005099392 19.9064939486004 8.73026803190651 7.55262946540093e-14 1.5690984213745e-12 19.8147956128694 "Os.11919.1.S1_at"
"OsAffx.26649.1.S1_x_at" 62.2095748143073 2.92612788923436 80.747204979598 1.64335487962489e-90 1.81344210966607e-87 196.610424583658 "OsAffx.26649.1.S1_x_at"
"Os.4378.2.S1_a_at" 61.8248359128059 53.1457824931529 5.97780563359208 3.78948293912106e-08 5.73439108683135e-07 6.7949264009703 "Os.4378.2.S1_a_at"
"Os.28218.1.S1_at" 61.5035445418619 2.96148051514927 54.3083997331553 3.16249637771956e-74 1.07378915471186e-71 159.373774931645 "Os.28218.1.S1_at"
"Os.11774.1.S1_s_at" 61.4313417786708 20.5381406683275 7.66606685615402 1.38994164957544e-11 2.58115313061287e-10 14.6228687254587 "Os.11774.1.S1_s_at"
"Os.4948.1.S1_x_at" 61.3463127176499 14.0616548223345 32.3848427528801 1.09212444326681e-53 1.17797527826195e-51 111.964412873428 "Os.4948.1.S1_x_at"
"OsAffx.32229.1.S1_x_at" 60.9078716520275 26.4441506942332 12.1544385080461 3.51946136394285e-21 9.88031956877536e-20 36.7047215916035 "OsAffx.32229.1.S1_x_at"
"Os.7890.1.S1_a_at" 60.5240423612557 6.92946595678802 26.4318354365173 5.05259960893965e-46 3.68396786226398e-44 94.2158896867309 "Os.7890.1.S1_a_at"
"Os.5458.1.A1_at" 60.2492153644069 15.0359639033899 16.9353584814045 1.11441130638548e-30 4.43154189764459e-29 58.6746118465671 "Os.5458.1.A1_at"
"Os.12197.1.S1_x_at" 59.1813727002068 30.0396429180038 7.76846480923557 8.45796800082221e-12 1.59126268794485e-10 15.1165731902816 "Os.12197.1.S1_x_at"
"Os.5869.1.S1_a_at" 58.7950803025072 27.7517863739465 5.31527905937139 6.84182272031939e-07 9.25719102422465e-06 3.95581592938095 "Os.5869.1.S1_a_at"
"Os.26522.1.S1_at" 58.7202696002715 20.7070495691803 12.7561643046011 1.94695393073721e-22 5.65671445334495e-21 39.6084239902601 "Os.26522.1.S1_at"
"Os.9440.1.S1_a_at" 58.6434820583175 6.08497252547105 70.8455868361946 4.13188293622816e-85 2.92710748946474e-82 184.316442301176 "Os.9440.1.S1_a_at"
"Os.28438.4.S1_s_at" 57.6782409423128 8.60788127464196 15.7039389459987 2.39525024568368e-28 8.68251734667219e-27 53.2758056196598 "Os.28438.4.S1_s_at"
"Os.12032.1.S1_at" 57.5833715093637 13.3291161667468 8.56202278032289 1.73328581584373e-13 3.54326350854097e-12 18.9866226805317 "Os.12032.1.S1_at"
"OsAffx.26173.1.S1_s_at" 57.3420182320321 2.81287360397363 169.114834260975 2.64501710495049e-121 5.05921238387564e-117 264.469017903112 "OsAffx.26173.1.S1_s_at"
"Os.12624.1.S1_s_at" 57.235159743342 7.16723093965421 19.2008930664985 9.41330326567566e-35 4.34906737512883e-33 68.1075618874901 "Os.12624.1.S1_s_at"
"Os.28216.2.S1_s_at" 56.6759780615749 10.0097425173927 14.8858026025882 9.43418697641399e-27 3.22233641119397e-25 49.5842802691915 "Os.28216.2.S1_s_at"
"Os.2329.1.S1_a_at" 56.5842884357991 13.0956986360007 7.64342837808021 1.55099262867348e-11 2.87557541255385e-10 14.5139316752392 "Os.2329.1.S1_a_at"
"Os.11078.1.S1_a_at" 56.3880031934588 10.3164905827712 15.7376433142359 2.06255748674207e-28 7.50023280761936e-27 53.4261091209535 "Os.11078.1.S1_a_at"
"Os.12410.3.S1_x_at" 56.2100472797507 23.6373485868814 2.77130322505406 0.00669755983109202 0.0405656932898166 -4.82747640360003 "Os.12410.3.S1_x_at"
"Os.38235.2.S1_x_at" 56.0048139844352 5.4637157019548 14.6770564249457 2.44060593741489e-26 8.24289875813662e-25 48.6293272648831 "Os.38235.2.S1_x_at"
"Os.6854.1.S1_at" 55.5781056073689 3.02150371604768 83.1371551391623 1.02010124509515e-91 1.33035112831932e-88 199.348649914526 "Os.6854.1.S1_at"
"Os.18490.3.S1_at" 55.0993722213546 3.81784299038407 48.7251320556324 7.84061921916634e-70 1.99960183126312e-67 149.258246093087 "Os.18490.3.S1_at"
"Os.10486.1.S1_at" 54.783083982856 7.28585671041499 10.1547918274771 6.45203059578883e-17 1.53431587089745e-15 26.8718334261639 "Os.10486.1.S1_at"
"OsAffx.32257.1.S1_x_at" 54.2916763146612 13.7704004935452 18.0557689495813 9.94488071797431e-33 4.2745853584929e-31 63.4201959257915 "OsAffx.32257.1.S1_x_at"
"Os.26509.1.S1_s_at" 53.9573636182172 17.6843313059384 16.0535030983535 5.11444141374246e-29 1.91314783053044e-27 54.8277727554922 "Os.26509.1.S1_s_at"
"Os.26695.1.S1_at" 53.8178850253931 34.8579990615024 3.68921228226178 0.00037188774451049 0.00337492686311892 -2.12933669530689 "Os.26695.1.S1_at"
"Os.10136.1.S1_at" 53.6611824023437 5.49537779193125 23.8537488641322 2.77810199520532e-42 1.7365255848461e-40 85.5515908043293 "Os.10136.1.S1_at"
"Os.46386.1.S1_at" 53.3151071203804 4.17838463502829 51.9027016588384 2.18439478021286e-72 6.63200747503569e-70 155.142313901404 "Os.46386.1.S1_at"
"Os.7907.1.S2_at" 53.2712495726859 6.08105037323961 56.9156060839941 3.89911612377283e-76 1.53245946174201e-73 163.761455741745 "Os.7907.1.S2_at"
"Os.6043.1.S1_at" 53.2440824163375 14.8682092252084 5.36675889046922 5.49528865051051e-07 7.4918188012258e-06 4.17020537870871 "Os.6043.1.S1_at"
"Os.4995.1.S1_at" 52.7691994897343 12.5207994872474 8.17304347579263 1.1740218582215e-12 2.29767129155751e-11 17.0810249516596 "Os.4995.1.S1_at"
"OsAffx.32192.1.S1_x_at" 52.1630489733426 21.6641264523225 7.3343823941367 6.87652039274997e-11 1.22771777590784e-09 13.0351915545344 "OsAffx.32192.1.S1_x_at"
"Os.7890.2.S1_x_at" 52.095877586148 5.53205327949105 25.6384063739173 6.67866385843213e-45 4.6679060843429e-43 91.6188337633646 "Os.7890.2.S1_x_at"
"Os.15427.1.S1_at" 52.0017130617532 3.3763348468563 72.6905694804194 3.60361513758128e-86 2.75710191766252e-83 186.733303309931 "Os.15427.1.S1_at"
"OsAffx.32317.1.A1_at" 51.8229482943668 9.48067185789806 19.8275919715107 7.86801882356135e-36 3.7844313171299e-34 70.6042938075296 "OsAffx.32317.1.A1_at"
"Os.11255.1.S1_at" 51.7612873279092 28.0850905655557 7.23630378852193 1.09965105657768e-10 1.94273943745507e-09 12.5694470362858 "Os.11255.1.S1_at"
"Os.11890.1.S1_at" 51.1728933116175 2.28182798224613 96.3939619196153 7.44966783106659e-98 1.70990735792905e-94 213.202446160903 "Os.11890.1.S1_at"
"Os.6448.1.S1_at" 51.1353627748018 3.96113150854599 44.5235493919805 3.30652761696652e-66 6.65737430585168e-64 140.899502548611 "Os.6448.1.S1_at"
"OsAffx.32209.1.A1_at" 51.1126864040085 14.3164375978816 9.90584559972085 2.21869037075382e-16 5.13358430865305e-15 25.6366763325827 "OsAffx.32209.1.A1_at"
"OsAffx.32258.1.S1_x_at" 51.11152576039 19.2332975872461 14.3724102425367 9.86369475833159e-26 3.26036021095958e-24 47.2263378069159 "OsAffx.32258.1.S1_x_at"
"Os.5613.1.S1_s_at" 51.1017105105616 5.77073860510822 45.7727009048364 2.57066662597009e-67 5.5247188139107e-65 143.458636909483 "Os.5613.1.S1_s_at"
"Os.5632.1.S1_a_at" 51.0157146007504 2.90164177832298 81.0443730298981 1.15815106174186e-90 1.30307890637003e-87 196.955364848863 "Os.5632.1.S1_a_at"
"Os.46386.1.S1_s_at" 50.8817686067083 3.73985607272757 44.2005909098122 6.46817380522371e-66 1.27985085962533e-63 140.227078862025 "Os.46386.1.S1_s_at"
"Os.6961.1.S1_a_at" 50.825274560544 6.43391148860239 25.6091933003713 7.35299531825769e-45 5.13296322812972e-43 91.5220648846101 "Os.6961.1.S1_a_at"
"Os.11824.1.S1_x_at" 50.5902646938203 3.75704920715441 72.267569097831 6.27077836659127e-86 4.73460268725974e-83 186.184658701678 "Os.11824.1.S1_x_at"
"Os.12627.1.S1_at" 50.4037033869768 8.87892876774946 13.7870993228103 1.48851453148301e-24 4.75049726616006e-23 44.5005315860252 "Os.12627.1.S1_at"
"Os.6590.1.S1_at" 50.3901475233845 8.19960490760251 14.5111280440484 5.21502008334998e-26 1.74082770461192e-24 47.8665373314064 "Os.6590.1.S1_at"
"Os.23822.1.A1_at" 50.3684610986791 3.05764879462653 44.8298464363418 1.75697015020742e-66 3.61356491610044e-64 141.533095133102 "Os.23822.1.A1_at"
"Os.12410.1.S1_a_at" 50.1221906181379 21.633645923143 2.96374723857025 0.00382680953007689 0.0255992054622141 -4.31388666582056 "Os.12410.1.S1_a_at"
"Os.5378.1.S1_at" 50.0963621007569 10.2156885640096 14.7477233942408 1.76805837269016e-26 5.99968808644038e-25 48.9531939597442 "Os.5378.1.S1_at"
"Os.5248.1.S1_s_at" 50.0695755053431 2.4125004184669 106.931240246419 3.61278670673765e-102 1.29568079253762e-98 222.862861383621 "Os.5248.1.S1_s_at"
"Os.27688.1.A1_at" 49.6075727635593 2.14266323194115 39.9059515950761 7.58658687597356e-62 1.20257880695336e-59 130.830869815937 "Os.27688.1.A1_at"
"Os.609.1.S2_a_at" 49.4398108562865 13.5640939175348 20.236118760971 1.60080306964281e-36 7.87123236865842e-35 72.2061950830538 "Os.609.1.S2_a_at"
"Os.12809.1.S1_s_at" 49.3144104726823 20.709245589753 7.85112997983463 5.65833593360378e-12 1.07086620231547e-10 15.5162392656981 "Os.12809.1.S1_s_at"
"OsAffx.32189.1.S1_x_at" 49.3139128421311 15.2804091617941 7.69209133972996 1.22525085245321e-11 2.28122467279268e-10 14.7481960064889 "OsAffx.32189.1.S1_x_at"
"Os.28133.1.S1_s_at" 49.2857716671831 3.84451583128417 35.8018072432425 1.40967560626803e-57 1.79356996981978e-55 120.962316584061 "Os.28133.1.S1_s_at"
"Os.7873.1.S1_at" 48.772257079469 2.90272785593432 97.5180077901312 2.45710055724558e-98 6.33357011532936e-95 214.284665389741 "Os.7873.1.S1_at"
"Os.12805.1.S1_at" 48.695427932978 9.27474456531853 21.1823883057758 4.32060135205043e-38 2.24366286681772e-36 75.8404421188153 "Os.12805.1.S1_at"
"Os.9172.2.S1_x_at" 48.6635016513794 25.7008409623238 3.89717251841119 0.000179478055887913 0.00174467386125025 -1.43596177938551 "Os.9172.2.S1_x_at"
"OsAffx.32204.1.S1_x_at" 48.6360520160779 74.6313152592286 4.58497701982852 1.35986961782817e-05 0.000158989483313399 1.04572732136509 "OsAffx.32204.1.S1_x_at"
"Os.7218.1.S1_at" 48.573316402114 2.61293508026156 70.3884300183275 7.63412327939814e-85 5.27784653034246e-82 183.707854277144 "Os.7218.1.S1_at"
"Os.46422.1.S1_at" 48.5051356893626 5.81790699844609 20.9640917913155 9.84949752138472e-38 5.05079416239587e-36 75.0113869395476 "Os.46422.1.S1_at"
"Os.26748.1.S1_at" 48.262600843525 16.5181403142246 8.60268316308983 1.41823644040199e-13 2.91271451049202e-12 19.1865794234027 "Os.26748.1.S1_at"
"Os.11687.1.S1_a_at" 48.0748772961042 5.97143874629884 54.5536141560316 2.07420319965157e-74 7.12706155703033e-72 159.794977441342 "Os.11687.1.S1_a_at"
"Os.5534.1.S1_at" 48.0701237031093 3.58021722330528 63.2170524178188 1.98566186326927e-80 1.06487148633755e-77 173.610205024776 "Os.5534.1.S1_at"
"Os.36779.1.S1_s_at" 47.9560875876557 27.4096977517391 3.93632433468984 0.000156035185987039 0.00153472935246971 -1.30230754844915 "Os.36779.1.S1_s_at"
"Os.6093.1.S1_a_at" 47.2585145087818 20.9369541348409 12.4575356956184 8.15440756027525e-22 2.33026003298663e-20 38.1714461210312 "Os.6093.1.S1_a_at"
"Os.11630.1.S1_at" 47.1440260758941 5.90784484121398 46.2008402515618 1.08686563965855e-67 2.41730713701113e-65 144.32089818494 "Os.11630.1.S1_at"
"Os.48976.1.A1_s_at" 47.0741106474847 3.62445064431755 30.2559517302072 4.35066153544404e-51 4.15390449628702e-49 105.945306410732 "Os.48976.1.A1_s_at"
"Os.11629.1.S1_at" 46.8929197950233 3.70729619437585 50.7250751357377 1.85724481816719e-71 5.3286211078035e-69 153.002414432768 "Os.11629.1.S1_at"
"Os.37565.2.S1_at" 46.2197747947781 6.03010200254593 16.774681221469 2.22139880562173e-30 8.74868265368472e-29 57.9810280041284 "Os.37565.2.S1_at"
"Os.9261.1.A1_at" 46.0949387553317 8.07402505992679 17.807688330302 2.78894773189285e-32 1.1836937777476e-30 62.3830987149039 "Os.9261.1.A1_at"
"Os.37849.1.A1_s_at" 45.9743523859699 48.8537804092517 4.66150280716834 1.00538599108918e-05 0.000119245677843488 1.33831585176113 "Os.37849.1.A1_s_at"
"Os.12809.1.S1_at" 45.9438294856516 18.8511934476732 7.72650390711298 1.03690781432564e-11 1.94000144120098e-10 14.9140742705661 "Os.12809.1.S1_at"
"Os.10671.1.S1_at" 45.7334119980905 3.39205491484086 39.6059532973335 1.50907412476616e-61 2.34037003857654e-59 130.140800619706 "Os.10671.1.S1_at"
"Os.12197.2.S1_a_at" 45.4172790623552 47.3807177135303 5.74260586634013 1.07694410790223e-07 1.56527879431726e-06 5.76801794099742 "Os.12197.2.S1_a_at"
"Os.6898.1.S1_at" 45.3653136620804 2.09414735363037 91.0920567647658 1.66372992434824e-95 2.65189306997086e-92 207.913623013208 "Os.6898.1.S1_at"
"Os.46383.2.A1_s_at" 45.3610733830013 2.71122203705966 49.9678837822511 7.53683659373706e-71 2.04966235744938e-68 151.601506377082 "Os.46383.2.A1_s_at"
"Os.26748.1.S1_x_at" 45.170912689618 16.8242150320027 8.12548258803172 1.48210328250448e-12 2.88879247814782e-11 16.8490604368427 "Os.26748.1.S1_x_at"
"Os.12148.1.S1_at" 45.0780610937111 9.72397353214316 26.2340668367432 9.56259566450524e-46 6.86759529938223e-44 93.5741302486657 "Os.12148.1.S1_at"
"Os.12394.1.S1_at" 44.9631230975412 3.65974479121296 37.378103655475 2.89229848453739e-59 3.97999692181593e-57 124.865247858666 "Os.12394.1.S1_at"
"Os.26509.1.S1_x_at" 44.6578734949481 16.3600891611863 13.9414554376775 7.24817457080143e-25 2.34318170829142e-23 45.2231613538088 "Os.26509.1.S1_x_at"
"Os.46849.1.S1_at" 44.6241597304011 12.280761337661 6.82021518621125 7.90098300975658e-10 1.32681945292904e-08 10.6155433822528 "Os.46849.1.S1_at"
"Os.20702.1.S1_at" 44.5075716279455 5.51744359321392 37.0472932022276 6.46068588437273e-59 8.74356314662915e-57 124.058279644204 "Os.20702.1.S1_at"
"Os.37723.1.S1_at" 44.4223811975528 5.85501295469395 26.4311238963975 5.0641770634944e-46 3.6877234550436e-44 94.2135872983833 "Os.37723.1.S1_at"
"Os.7902.1.S1_at" 44.2535815036854 17.3213833777525 6.3839724178532 6.00024713699137e-09 9.52701110168341e-08 8.61153293364126 "Os.7902.1.S1_at"
"Os.26587.1.A1_at" 43.4404603942635 3.75115549836965 27.7652096195452 7.51335347366001e-48 5.96308781501464e-46 98.4490521906416 "Os.26587.1.A1_at"
"Os.12065.1.S1_at" 43.2929495435543 6.01925381129858 47.8105164494561 4.55355988983429e-69 1.09327352970072e-66 147.497545569735 "Os.12065.1.S1_at"
"Os.5523.1.S1_x_at" 43.0772029020147 23.6191294299734 3.09320888796017 0.00258881986165011 0.0184173506323708 -3.95224743665238 "Os.5523.1.S1_x_at"
"OsAffx.7060.1.S1_s_at" 42.664364397336 1.92133547093707 294.456654399028 1.55942144280525e-144 8.94827212310508e-140 309.781297371096 "OsAffx.7060.1.S1_s_at"
"Os.11824.1.S1_a_at" 42.6603160164418 2.8387687980215 74.0652713609562 6.08266817426968e-87 4.84771757188809e-84 188.494467081728 "Os.11824.1.S1_a_at"
"Os.9392.1.S1_at" 42.5779310195792 21.5341327833401 5.22914218216482 9.84971501410538e-07 1.31105624435026e-05 3.59964092441697 "Os.9392.1.S1_at"
"Os.10959.1.S1_at" 42.2778405688347 5.69207708886886 14.4967631612659 5.57021300628314e-26 1.8572339496022e-24 47.80034688547 "Os.10959.1.S1_at"
"Os.12726.1.S1_at" 42.1600277971264 21.7500383476079 7.92474740848043 3.95295223008046e-12 7.52083238947205e-11 15.8729460377025 "Os.12726.1.S1_at"
"Os.12693.1.S1_a_at" 42.0537388504232 59.3946404798879 4.43923907820547 2.39806204266809e-05 0.000270398105978346 0.497200625889459 "Os.12693.1.S1_a_at"
"Os.12701.1.S2_at" 42.0347582520615 15.0067983792284 10.0856595551603 9.09077075356753e-17 2.14669385753585e-15 26.5289002055097 "Os.12701.1.S2_at"
"Os.46398.1.S1_s_at" 41.440197886711 25.2029899432595 2.81314376163104 0.00594317997143995 0.0368244847339561 -4.71829364384926 "Os.46398.1.S1_s_at"
"OsAffx.32213.1.S1_s_at" 41.3475719058642 5.66954631723706 26.2031838464106 1.05677745132367e-45 7.57053729236641e-44 93.4735833631219 "OsAffx.32213.1.S1_s_at"
